"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Coldfoot","TL","TL1","A",2022,"Coldfoot.TL1.A.Red.2022",13,223
"Coldfoot","TL","TL2","TL2",2016,"Coldfoot.TL2.TL2.Black.2016",13,211
"Coldfoot","CF","CF4","CF4",2017,"Coldfoot.CF4.CF4.Black.2017",13,217
"Toolik","TL","TL17","C",2024,"Toolik.TL17.C.blue.2024",8,227
"Coldfoot","TL","TL8","TL8",2016,"Coldfoot.TL8.TL8.Black2.2016",13,202
"Coldfoot","TL","TL6","TL6",2015,"Coldfoot.TL6.TL6.Black.2015",8,211
"Sagwon","TL","TL4","A",2023,"Sagwon.TL4.A.blue.2023",13,224
"Sagwon","TL","TL4","C",2022,"Sagwon.TL4.C.blue.2022",9,214
"Coldfoot","TL","TL1","B",2024,"Coldfoot.TL1.B.Red3.2024",10,207
"Toolik","CF","CF10","C",2024,"Toolik.CF10.C.Red.2024",15,232
"Toolik","TL","TL8","B",2022,"Toolik.TL8.B.Red.2022",11,202
"Sagwon","TL","TL17","B",2022,"Sagwon.TL17.B.blue.2022",9,206
"Coldfoot","TL","TL4","A",2022,"Coldfoot.TL4.A.Blue.2022",13,202
"Sagwon","CF","CF13","CF13",2015,"Sagwon.CF13.CF13.Black.2015",10,220
"Toolik","SG","SG11","A",2022,"Toolik.SG11.A.Red.2022",11,220
"Toolik","TL","TL4","C",2023,"Toolik.TL4.C.blue.2023",14,215
"Coldfoot","TL","TL2","A",2024,"Coldfoot.TL2.A.Red2.2024",17,207
"Sagwon","TL","TL8","B",2022,"Sagwon.TL8.B.blue.2022",9,NA
"Coldfoot","CF","CF3","A",2022,"Coldfoot.CF3.A.Blue.2022",13,216
"Coldfoot","SG","SG3","A",2022,"Coldfoot.SG3.A.Red.2022",13,201
"Sagwon","SG","SG14","SG14",2015,"Sagwon.SG14.SG14.Black.2015",10,190
"Coldfoot","SG","SG7","A",2023,"Coldfoot.SG7.A.red.2023",14,192
"Toolik","TL","TL11","TL11",2015,"Toolik.TL11.TL11.Black.2015",10,194
"Toolik","TL","TL10","TL10",2016,"Toolik.TL10.TL10.Black.2016",14,219
"Toolik","TL","TL8","C",2024,"Toolik.TL8.C.Yellow.2024",7,NA
"Toolik","CF","CF2","A",2024,"Toolik.CF2.A.yellow.2024",15,232
"Toolik","TL","TL2","C",2023,"Toolik.TL2.C.yellow.2023",14,221
"Sagwon","TL","TL16","TL16",2015,"Sagwon.TL16.TL16.Black2.2015",2,NA
"Toolik","CF","CF10","B",2024,"Toolik.CF10.B.Yellow.2024",15,227
"Sagwon","SG","SG10","SG10",2017,"Sagwon.SG10.SG10.Black.2017",12,228
"Coldfoot","CF","CF5","CF5",2016,"Coldfoot.CF5.CF5.Black2.2016",13,217
"Coldfoot","TL","TL2","C",2022,"Coldfoot.TL2.C.Red.2022",12,194
"Sagwon","TL","TL2","TL2",2017,"Sagwon.TL2.TL2.Black.2017",13,228
"Sagwon","SG","SG10","C",2022,"Sagwon.SG10.C.Red.2022",9,199
"Coldfoot","CF","CF10","A",2022,"Coldfoot.CF10.A.red.2022",13,194
"Sagwon","TL","TL5","C",2022,"Sagwon.TL5.C.red.2022",9,232
"Coldfoot","TL","TL5","A",2023,"Coldfoot.TL5.A.Yellow.2023",14,192
"Sagwon","SG","SG11","A",2024,"Sagwon.SG11.A.blue.2024",13,233
"Toolik","TL","TL8","C",2024,"Toolik.TL8.C.Yellow2.2024",8,213
"Sagwon","CF","CF7","C",2022,"Sagwon.CF7.C.red.2022",9,214
"Coldfoot","SG","SG9","SG9",2016,"Coldfoot.SG9.SG9.Black.2016",13,194
"Toolik","SG","SG14","B",2022,"Toolik.SG14.B.red.2022",11,215
"Toolik","SG","SG11","C",2023,"Toolik.SG11.C.Yellow.2023",14,221
"Toolik","SG","SG11","A",2022,"Toolik.SG11.A.Blue.2022",11,220
"Sagwon","CF","CF5","CF5",2017,"Sagwon.CF5.CF5.Black.2017",13,206
"Coldfoot","CF","CF9","A",2024,"Coldfoot.CF9.A.blue.2024",1,NA
"Coldfoot","SG","SG4","A",2023,"Coldfoot.SG4.A.Blue.2023",14,206
"Coldfoot","CF","CF2","B",2024,"Coldfoot.CF2.B.Blue.2024",17,230
"Sagwon","CF","CF13","C",2022,"Sagwon.CF13.C.Blue.2022",9,199
"Coldfoot","SG","SG1","SG1",2017,"Coldfoot.SG1.SG1.Black.2017",13,218
"Sagwon","SG","SG2","A",2023,"Sagwon.SG2.A.Yellow.2023",13,223
"Toolik","TL","TL19","B",2024,"Toolik.TL19.B.blue.2024",15,227
"Sagwon","TL","TL4","TL4",2016,"Sagwon.TL4.TL4.Black.2016",16,231
"Toolik","SG","SG3","C",2023,"Toolik.SG3.C.Purple.2023",14,215
"Toolik","CF","CF4","A",2022,"Toolik.CF4.A.red.2022",11,220
"Sagwon","SG","SG11","SG11",2015,"Sagwon.SG11.SG11.Black.2015",10,206
"Coldfoot","SG","SG2","A",2023,"Coldfoot.SG2.A.Red.2023",14,213
"Sagwon","SG","SG17","A",2022,"Sagwon.SG17.A.blue.2022",9,199
"Sagwon","CF","CF16","B",2022,"Sagwon.CF16.B.Red.2022",9,214
"Sagwon","CF","CF19","CF19",2017,"Sagwon.CF19.CF19.Black.2017",13,228
"Coldfoot","TL","TL8","TL8",2017,"Coldfoot.TL8.TL8.Black.2017",13,217
"Toolik","CF","CF2","CF2",2017,"Toolik.CF2.CF2.Black.2017",14,220
"Sagwon","TL","TL16","B",2024,"Sagwon.TL16.B.blue2.2024",13,213
"Toolik","CF","CF4","C",2023,"Toolik.CF4.C.yellow.2023",14,NA
"Sagwon","CF","CF11","CF11",2017,"Sagwon.CF11.CF11.Black.2017",13,236
"Sagwon","SG","SG14","A",2022,"Sagwon.SG14.A.Blue.2022",9,214
"Sagwon","TL","TL11","A",2022,"Sagwon.TL11.A.red.2022",9,206
"Toolik","SG","SG14","SG14",2015,"Toolik.SG14.SG14.Black.2015",10,205
"Sagwon","SG","SG3","A",2023,"Sagwon.SG3.A.red.2023",13,224
"Toolik","CF","CF5","C",2024,"Toolik.CF5.C.blue.2024",15,206
"Coldfoot","TL","TL3","C",2024,"Coldfoot.TL3.C.Yellow2.2024",17,207
"Sagwon","CF","CF11","C",2022,"Sagwon.CF11.C.Blue.2022",9,222
"Sagwon","SG","SG5","B",2023,"Sagwon.SG5.B.red.2023",13,242
"Coldfoot","TL","TL8","A",2022,"Coldfoot.TL8.A.blue.2022",12,201
"Coldfoot","CF","CF2","C",2022,"Coldfoot.CF2.C.Red.2022",13,NA
"Sagwon","SG","SG19","SG19",2016,"Sagwon.SG19.SG19.Black.2016",16,218
"Coldfoot","CF","CF6","B",2022,"Coldfoot.CF6.B.blue.2022",13,236
"Sagwon","SG","SG10","B",2023,"Sagwon.SG10.B.Blue.2023",13,217
"Coldfoot","CF","CF7","A",2023,"Coldfoot.CF7.A.red.2023",14,223
"Sagwon","SG","SG17","SG17",2017,"Sagwon.SG17.SG17.Black.2017",13,229
"Coldfoot","CF","CF2","A",2024,"Coldfoot.CF2.A.Red.2024",17,223
"Sagwon","TL","TL11","A",2023,"Sagwon.TL11.A.blue.2023",13,242
"Toolik","CF","CF4","CF4",2016,"Toolik.CF4.CF4.Black.2016",14,219
"Sagwon","TL","TL17","TL17",2015,"Sagwon.TL17.TL17.Black.2015",10,196
"Sagwon","TL","TL11","TL11",2017,"Sagwon.TL11.TL11.Black.2017",13,237
"Coldfoot","TL","TL5","C",2022,"Coldfoot.TL5.C.Blue.2022",12,166
"Sagwon","CF","CF16","B",2022,"Sagwon.CF16.B.Blue.2022",9,214
"Sagwon","SG","SG14","B",2023,"Sagwon.SG14.B.Red.2023",13,234
"Toolik","TL","TL2","C",2022,"Toolik.TL2.C.blue.2022",11,211
"Sagwon","SG","SG2","C",2024,"Sagwon.SG2.C.blue.2024",13,233
"Coldfoot","SG","SG4","B",2024,"Coldfoot.SG4.B.Red.2024",17,215
"Sagwon","CF","CF2","C",2023,"Sagwon.CF2.C.red.2023",13,242
"Toolik","SG","SG5","SG5",2016,"Toolik.SG5.SG5.Black.2016",14,198
"Toolik","CF","CF11","CF11",2015,"Toolik.CF11.CF11.Black.2015",10,213
"Coldfoot","SG","SG3","B",2022,"Coldfoot.SG3.B.Blue.2022",13,216
"Coldfoot","CF","CF6","B",2023,"Coldfoot.CF6.B.blue.2023",14,213
"Sagwon","TL","TL8","C",2023,"Sagwon.TL8.C.Yellow.2023",13,234
"Coldfoot","CF","CF3","B",2022,"Coldfoot.CF3.B.Blue.2022",13,210
"Coldfoot","SG","SG1","SG1",2015,"Coldfoot.SG1.SG1.Black.2015",8,NA
"Sagwon","TL","TL8","A",2024,"Sagwon.TL8.A.blue2.2024",13,213
"Toolik","TL","TL17","A",2022,"Toolik.TL17.A.red.2022",11,202
"Coldfoot","TL","TL7","TL7",2016,"Coldfoot.TL7.TL7.Black.2016",13,217
"Coldfoot","SG","SG6","A",2022,"Coldfoot.SG6.A.red.2022",13,216
"Coldfoot","CF","CF1","CF1",2017,"Coldfoot.CF1.CF1.Black.2017",13,225
"Coldfoot","CF","CF10","C",2022,"Coldfoot.CF10.C.red.2022",13,210
"Toolik","TL","TL19","TL19",2015,"Toolik.TL19.TL19.Black2.2015",2,NA
"Coldfoot","TL","TL1","B",2022,"Coldfoot.TL1.B.Red.2022",13,216
"Coldfoot","TL","TL8","A",2023,"Coldfoot.TL8.A.Yellow.2023",14,213
"Coldfoot","CF","CF10","CF10",2017,"Coldfoot.CF10.CF10.Black.2017",13,217
"Toolik","SG","SG14","A",2022,"Toolik.SG14.A.red.2022",11,192
"Sagwon","CF","CF5","CF5",2015,"Sagwon.CF5.CF5.Black.2015",10,196
"Toolik","CF","CF19","C",2023,"Toolik.CF19.C.red.2023",13,228
"Toolik","SG","SG3","B",2023,"Toolik.SG3.B.blue.2023",14,216
"Sagwon","TL","TL8","B",2024,"Sagwon.TL8.B.Yellow.2024",13,213
"Coldfoot","CF","CF9","C",2023,"Coldfoot.CF9.C.Yellow.2023",14,213
"Sagwon","CF","CF19","C",2022,"Sagwon.CF19.C.blue.2022",9,NA
"Sagwon","SG","SG3","B",2022,"Sagwon.SG3.B.blue.2022",9,222
"Sagwon","CF","CF2","A",2022,"Sagwon.CF2.A.blue.2022",9,222
"Toolik","TL","TL16","TL16",2015,"Toolik.TL16.TL16.Black.2015",10,205
"Toolik","TL","TL8","A",2022,"Toolik.TL8.A.Blue.2022",11,215
"Sagwon","TL","TL5","A",2024,"Sagwon.TL5.A.red.2024",9,NA
"Toolik","CF","CF2","A",2022,"Toolik.CF2.A.red.2022",11,234
"Sagwon","SG","SG17","SG17",2015,"Sagwon.SG17.SG17.Black.2015",10,180
"Toolik","SG","SG8","SG8",2015,"Toolik.SG8.SG8.Black.2015",10,194
"Toolik","TL","TL5","C",2023,"Toolik.TL5.C.yellow.2023",14,221
"Coldfoot","SG","SG1","B",2023,"Coldfoot.SG1.B.Yellow.2023",13,192
"Coldfoot","TL","TL2","C",2023,"Coldfoot.TL2.C.Yellow.2023",14,222
"Sagwon","SG","SG10","A",2024,"Sagwon.SG10.A.Red2.2024",13,233
"Coldfoot","SG","SG10","B",2023,"Coldfoot.SG10.B.blue.2023",14,206
"Sagwon","TL","TL13","B",2023,"Sagwon.TL13.B.Red.2023",13,234
"Sagwon","SG","SG2","SG2",2016,"Sagwon.SG2.SG2.Black.2016",16,204
"Coldfoot","SG","SG4","C",2022,"Coldfoot.SG4.C.Blue.2022",13,216
"Sagwon","TL","TL2","B",2023,"Sagwon.TL2.B.Yellow.2023",13,217
"Sagwon","SG","SG3","B",2023,"Sagwon.SG3.B.red.2023",13,224
"Sagwon","TL","TL5","A",2022,"Sagwon.TL5.A.blue.2022",9,222
"Toolik","TL","TL19","B",2022,"Toolik.TL19.B.yellow.2022",11,220
"Sagwon","CF","CF11","C",2024,"Sagwon.CF11.C.Yellow2.2024",13,233
"Sagwon","SG","SG11","C",2023,"Sagwon.SG11.C.red.2023",13,210
"Sagwon","CF","CF2","C",2022,"Sagwon.CF2.C.red.2022",9,222
"Coldfoot","SG","SG7","SG7",2017,"Coldfoot.SG7.SG7.Black.2017",13,217
"Toolik","SG","SG2","C",2023,"Toolik.SG2.C.blue.2023",14,201
"Toolik","SG","SG2","C",2024,"Toolik.SG2.C.blue.2024",14,213
"Toolik","SG","SG10","C",2022,"Toolik.SG10.C.yellow.2022",11,215
"Coldfoot","CF","CF10","B",2022,"Coldfoot.CF10.B.red.2022",9,173
"Toolik","SG","SG11","C",2024,"Toolik.SG11.C.yellow2.2024",8,220
"Toolik","CF","CF2","B",2022,"Toolik.CF2.B.yellow.2022",11,220
"Toolik","TL","TL2","TL2",2015,"Toolik.TL2.TL2.Black.2015",10,218
"Sagwon","TL","TL11","C",2023,"Sagwon.TL11.C.red.2023",13,224
"Sagwon","TL","TL8","C",2022,"Sagwon.TL8.C.blue.2022",9,222
"Toolik","TL","TL17","A",2024,"Toolik.TL17.A.blue2.2024",8,213
"Sagwon","CF","CF11","C",2022,"Sagwon.CF11.C.Red.2022",9,222
"Coldfoot","CF","CF9","A",2022,"Coldfoot.CF9.A.blue.2022",13,223
"Sagwon","SG","SG14","B",2024,"Sagwon.SG14.B.Red2.2024",13,233
"Toolik","SG","SG10","B",2022,"Toolik.SG10.B.red.2022",11,202
"Coldfoot","CF","CF9","B",2023,"Coldfoot.CF9.B.blue.2023",14,243
"Sagwon","TL","TL2","TL2",2016,"Sagwon.TL2.TL2.Black.2016",16,231
"Coldfoot","CF","CF7","B",2023,"Coldfoot.CF7.B.blue.2023",14,206
"Toolik","TL","TL2","A",2022,"Toolik.TL2.A.red.2022",11,220
"Sagwon","CF","CF7","B",2022,"Sagwon.CF7.B.blue.2022",9,NA
"Sagwon","SG","SG11","C",2022,"Sagwon.SG11.C.red.2022",9,214
"Sagwon","CF","CF11","A",2024,"Sagwon.CF11.A.Blue.2024",8,205
"Coldfoot","CF","CF3","C",2023,"Coldfoot.CF3.C.Red.2023",14,236
"Sagwon","SG","SG17","C",2022,"Sagwon.SG17.C.blue.2022",9,222
"Coldfoot","SG","SG2","SG2",2016,"Coldfoot.SG2.SG2.Black.2016",13,217
"Coldfoot","TL","TL9","B",2022,"Coldfoot.TL9.B.Red.2022",13,216
"Sagwon","SG","SG19","C",2022,"Sagwon.SG19.C.blue.2022",9,222
"Sagwon","TL","TL5","C",2022,"Sagwon.TL5.C.blue.2022",9,232
"Coldfoot","TL","TL10","A",2023,"Coldfoot.TL10.A.blue.2023",14,236
"Coldfoot","SG","SG10","B",2022,"Coldfoot.SG10.B.blue.2022",13,201
"Toolik","TL","TL13","B",2023,"Toolik.TL13.B.Blue2.2023",14,215
"Coldfoot","CF","CF4","B",2024,"Coldfoot.CF4.B.Blue2.2024",17,215
"Sagwon","TL","TL4","B",2023,"Sagwon.TL4.B.red.2023",13,224
"Coldfoot","CF","CF1","A",2023,"Coldfoot.CF1.A.Red.2023",13,206
"Toolik","CF","CF16","A",2022,"Toolik.CF16.A.yellow.2022",11,235
"Sagwon","CF","CF18","B",2022,"Sagwon.CF18.B.red.2022",9,232
"Sagwon","SG","SG19","A",2023,"Sagwon.SG19.A.blue.2023",13,224
"Sagwon","TL","TL5","TL5",2015,"Sagwon.TL5.TL5.Black2.2015",4,NA
"Toolik","CF","CF16","A",2022,"Toolik.CF16.A.blue.2022",11,234
"Toolik","CF","CF2","C",2022,"Toolik.CF2.C.yellow.2022",11,220
"Coldfoot","TL","TL3","A",2022,"Coldfoot.TL3.A.Blue.2022",13,210
"Toolik","CF","CF10","C",2023,"Toolik.CF10.C.Red.2023",14,228
"Coldfoot","TL","TL1","B",2024,"Coldfoot.TL1.B.Red2.2024",8,169
"Coldfoot","SG","SG10","A",2022,"Coldfoot.SG10.A.red.2022",13,201
"Sagwon","CF","CF7","B",2024,"Sagwon.CF7.B.blue.2024",12,226
"Sagwon","CF","CF5","C",2023,"Sagwon.CF5.C.blue.2023",13,234
"Toolik","TL","TL2","B",2024,"Toolik.TL2.B.red.2024",15,227
"Coldfoot","SG","SG5","SG5",2015,"Coldfoot.SG5.SG5.Black.2015",9,176
"Sagwon","SG","SG2","C",2022,"Sagwon.SG2.C.blue.2022",9,206
"Coldfoot","CF","CF7","CF7",2017,"Coldfoot.CF7.CF7.Black.2017",13,226
"Toolik","CF","CF19","A",2023,"Toolik.CF19.A.yellow.2023",14,235
"Coldfoot","TL","TL1","A",2022,"Coldfoot.TL1.A.Blue.2022",12,201
"Coldfoot","TL","TL4","A",2024,"Coldfoot.TL4.A.Yellow2.2024",17,223
"Toolik","CF","CF16","B",2022,"Toolik.CF16.B.red.2022",11,234
"Toolik","SG","SG10","B",2024,"Toolik.SG10.B.blue.2024",7,NA
"Sagwon","TL","TL2","C",2024,"Sagwon.TL2.C.red.2024",13,233
"Sagwon","CF","CF5","C",2022,"Sagwon.CF5.C.red.2022",9,206
"Coldfoot","CF","CF6","A",2023,"Coldfoot.CF6.A.red.2023",14,236
"Sagwon","SG","SG2","SG2",2015,"Sagwon.SG2.SG2.Black.2015",10,NA
"Sagwon","TL","TL17","A",2024,"Sagwon.TL17.A.blue2.2024",13,226
"Coldfoot","TL","TL8","B",2022,"Coldfoot.TL8.B.blue.2022",13,216
"Sagwon","CF","CF19","B",2022,"Sagwon.CF19.B.blue.2022",9,222
"Coldfoot","CF","CF6","A",2022,"Coldfoot.CF6.A.red.2022",13,223
"Toolik","TL","TL17","TL17",2015,"Toolik.TL17.TL17.Black.2015",10,205
"Coldfoot","CF","CF7","B",2022,"Coldfoot.CF7.B.red.2022",13,236
"Sagwon","SG","SG19","SG19",2017,"Sagwon.SG19.SG19.Black.2017",13,216
"Toolik","SG","SG11","A",2022,"Toolik.SG11.A.Yellow.2022",11,215
"Toolik","SG","SG10","B",2022,"Toolik.SG10.B.Yellow .2022",11,220
"Sagwon","CF","CF2","B",2023,"Sagwon.CF2.B.red.2023",13,224
"Coldfoot","SG","SG5","A",2023,"Coldfoot.SG5.A.Yellow.2023",14,206
"Toolik","SG","SG5","A",2024,"Toolik.SG5.A.blue.2024",15,201
"Coldfoot","SG","SG7","A",2022,"Coldfoot.SG7.A.red.2022",13,201
"Toolik","TL","TL8","A",2023,"Toolik.TL8.A.Yellow.2023",11,208
"Toolik","TL","TL13","TL13",2016,"Toolik.TL13.TL13.Black.2016",14,205
"Coldfoot","SG","SG10","C",2022,"Coldfoot.SG10.C.red.2022",13,210
"Toolik","CF","CF4","B",2022,"Toolik.CF4.B.blue.2022",11,215
"Coldfoot","TL","TL3","A",2022,"Coldfoot.TL3.A.Red.2022",13,216
"Toolik","CF","CF2","A",2023,"Toolik.CF2.A.yellow.2023",14,221
"Coldfoot","SG","SG4","C",2022,"Coldfoot.SG4.C.Red.2022",13,194
"Coldfoot","TL","TL3","C",2022,"Coldfoot.TL3.C.Red.2022",13,217
"Sagwon","CF","CF11","A",2022,"Sagwon.CF11.A.Blue.2022",9,NA
"Toolik","SG","SG5","C",2023,"Toolik.SG5.C.blue.2023",14,221
"Coldfoot","CF","CF9","CF9",2015,"Coldfoot.CF9.CF9.Black.2015",8,211
"Coldfoot","CF","CF10","CF10",2015,"Coldfoot.CF10.CF10.Black.2015",8,211
"Sagwon","SG","SG5","A",2022,"Sagwon.SG5.A.red.2022",9,214
"Toolik","SG","SG19","SG19",2016,"Toolik.SG19.SG19.Black.2016",14,205
"Sagwon","SG","SG2","C",2022,"Sagwon.SG2.C.red.2022",9,199
"Coldfoot","TL","TL5","B",2022,"Coldfoot.TL5.B.Blue.2022",13,223
"Toolik","SG","SG10","C",2022,"Toolik.SG10.C.blue.2022",11,220
"Toolik","CF","CF7","B",2023,"Toolik.CF7.B.red.2023",14,208
"Coldfoot","CF","CF9","C",2022,"Coldfoot.CF9.C.blue.2022",13,223
"Toolik","SG","SG8","C",2022,"Toolik.SG8.C.Red.2022",11,220
"Sagwon","TL","TL11","C",2024,"Sagwon.TL11.C.red2.2024",13,233
"Sagwon","CF","CF7","C",2022,"Sagwon.CF7.C.blue.2022",9,232
"Sagwon","TL","TL2","C",2022,"Sagwon.TL2.C.blue.2022",9,232
"Sagwon","TL","TL8","A",2022,"Sagwon.TL8.A.blue.2022",9,222
"Sagwon","CF","CF2","C",2024,"Sagwon.CF2.C.red.2024",13,233
"Toolik","CF","CF4","B",2022,"Toolik.CF4.B.red.2022",11,202
"Toolik","SG","SG8","A",2022,"Toolik.SG8.A.Yellow.2022",11,192
"Toolik","CF","CF4","B",2024,"Toolik.CF4.B.blue.2024",15,232
"Coldfoot","TL","TL1","C",2022,"Coldfoot.TL1.C.Red.2022",13,223
"Sagwon","TL","TL2","A",2024,"Sagwon.TL2.A.blue2.2024",13,200
"Sagwon","TL","TL4","TL4",2017,"Sagwon.TL4.TL4.Black.2017",13,228
"Toolik","SG","SG14","B",2023,"Toolik.SG14.B.blue.2023",14,228
"Coldfoot","CF","CF6","C",2024,"Coldfoot.CF6.C.red2.2024",17,215
"Coldfoot","SG","SG10","SG10",2015,"Coldfoot.SG10.SG10.Black.2015",9,197
"Sagwon","CF","CF7","C",2023,"Sagwon.CF7.C.red.2023",13,234
"Toolik","SG","SG11","C",2024,"Toolik.SG11.C.Yellow.2024",7,NA
"Coldfoot","CF","CF6","B",2024,"Coldfoot.CF6.B.blue2.2024",17,230
"Sagwon","SG","SG11","SG11",2016,"Sagwon.SG11.SG11.Black.2016",16,218
"Toolik","TL","TL8","C",2022,"Toolik.TL8.C.Yellow.2022",11,220
"Sagwon","TL","TL11","B",2022,"Sagwon.TL11.B.blue.2022",9,232
"Coldfoot","SG","SG10","A",2022,"Coldfoot.SG10.A.blue.2022",13,187
"Sagwon","TL","TL8","C",2024,"Sagwon.TL8.C.Yellow.2024",13,226
"Toolik","TL","TL4","B",2024,"Toolik.TL4.B.blue.2024",15,227
"Toolik","SG","SG3","SG3",2017,"Toolik.SG3.SG3.Black.2017",14,220
"Coldfoot","TL","TL5","C",2024,"Coldfoot.TL5.C.Yellow.2024",17,215
"Toolik","SG","SG10","B",2022,"Toolik.SG10.B.blue.2022",11,220
"Coldfoot","SG","SG6","SG6",2016,"Coldfoot.SG6.SG6.Black.2016",13,217
"Toolik","TL","TL19","C",2024,"Toolik.TL19.C.blue.2024",7,NA
"Sagwon","SG","SG19","B",2024,"Sagwon.SG19.B.red2.2024",13,233
"Toolik","SG","SG19","A",2024,"Toolik.SG19.A.red.2024",15,213
"Toolik","CF","CF5","A",2024,"Toolik.CF5.A.blue.2024",15,220
"Sagwon","TL","TL8","TL8",2015,"Sagwon.TL8.TL8.Black2.2015",3,NA
"Sagwon","CF","CF18","A",2022,"Sagwon.CF18.A.red.2022",8,175
"Coldfoot","CF","CF4","A",2024,"Coldfoot.CF4.A.Yellow.2024",17,215
"Toolik","CF","CF2","B",2022,"Toolik.CF2.B.blue.2022",11,220
"Sagwon","TL","TL13","C",2024,"Sagwon.TL13.C.yellow.2024",13,233
"Coldfoot","TL","TL9","TL9",2015,"Coldfoot.TL9.TL9.Black.2015",8,211
"Coldfoot","CF","CF3","CF3",2017,"Coldfoot.CF3.CF3.Black.2017",13,232
"Toolik","SG","SG2","B",2024,"Toolik.SG2.B.Red.2024",15,227
"Sagwon","TL","TL4","A",2022,"Sagwon.TL4.A.blue.2022",9,232
"Sagwon","TL","TL11","C",2022,"Sagwon.TL11.C.red.2022",9,185
"Coldfoot","CF","CF10","A",2022,"Coldfoot.CF10.A.blue.2022",13,223
"Toolik","SG","SG14","C",2022,"Toolik.SG14.C.yellow.2022",11,234
"Coldfoot","CF","CF1","B",2022,"Coldfoot.CF1.B.Blue.2022",13,187
"Sagwon","CF","CF18","B",2024,"Sagwon.CF18.B.blue2.2024",13,226
"Toolik","SG","SG5","B",2024,"Toolik.SG5.B.red.2024",15,201
"Sagwon","SG","SG11","SG11",2017,"Sagwon.SG11.SG11.Black.2017",13,228
"Sagwon","TL","TL4","A",2022,"Sagwon.TL4.A.red.2022",9,222
"Coldfoot","CF","CF9","B",2024,"Coldfoot.CF9.B.blue.2024",17,215
"Sagwon","SG","SG3","B",2022,"Sagwon.SG3.B.red.2022",9,232
"Toolik","TL","TL19","B",2022,"Toolik.TL19.B.red.2022",11,220
"Toolik","CF","CF13","B",2023,"Toolik.CF13.B.Yellow.2023",14,234
"Toolik","TL","TL2","TL2",2016,"Toolik.TL2.TL2.Black.2016",14,219
"Coldfoot","TL","TL5","A",2024,"Coldfoot.TL5.A.Yellow.2024",17,230
"Sagwon","TL","TL17","C",2022,"Sagwon.TL17.C.red.2022",9,232
"Coldfoot","SG","SG1","A",2023,"Coldfoot.SG1.A.Blue.2023",14,235
"Coldfoot","CF","CF3","CF3",2016,"Coldfoot.CF3.CF3.Black2.2016",6,217
"Toolik","TL","TL10","C",2023,"Toolik.TL10.C.blue.2023",14,228
"Coldfoot","SG","SG1","B",2022,"Coldfoot.SG1.B.Red.2022",13,216
"Toolik","SG","SG11","SG11",2017,"Toolik.SG11.SG11.Black.2017",14,232
"Toolik","SG","SG16","SG16",2016,"Toolik.SG16.SG16.Black.2016",14,219
"Sagwon","CF","CF2","A",2022,"Sagwon.CF2.A.red.2022",9,232
"Sagwon","TL","TL17","C",2024,"Sagwon.TL17.C.red.2024",13,213
"Coldfoot","TL","TL1","TL1",2017,"Coldfoot.TL1.TL1.Black.2017",13,210
"Toolik","CF","CF4","B",2023,"Toolik.CF4.B.blue.2023",14,215
"Sagwon","CF","CF18","CF18",2015,"Sagwon.CF18.CF18.Black.2015",10,230
"Coldfoot","CF","CF8","CF8",2015,"Coldfoot.CF8.CF8.Black.2015",8,211
"Sagwon","TL","TL5","TL5",2017,"Sagwon.TL5.TL5.Black.2017",13,228
"Coldfoot","TL","TL1","B",2023,"Coldfoot.TL1.B.Red.2023",12,223
"Sagwon","TL","TL17","TL17",2017,"Sagwon.TL17.TL17.Black.2017",12,236
"Coldfoot","CF","CF7","CF7",2016,"Coldfoot.CF7.CF7.Black2.2016",7,217
"Toolik","SG","SG11","SG11",2016,"Toolik.SG11.SG11.Black.2016",14,226
"Coldfoot","CF","CF3","A",2024,"Coldfoot.CF3.A.Blue2.2024",17,215
"Toolik","TL","TL13","A",2023,"Toolik.TL13.A.Red.2023",14,215
"Sagwon","TL","TL5","C",2024,"Sagwon.TL5.C.red.2024",13,205
"Coldfoot","TL","TL1","C",2024,"Coldfoot.TL1.C.Red2.2024",17,223
"Coldfoot","SG","SG6","C",2024,"Coldfoot.SG6.C.blue2.2024",17,207
"Sagwon","CF","CF13","A",2023,"Sagwon.CF13.A.Red.2023",13,210
"Sagwon","SG","SG19","C",2023,"Sagwon.SG19.C.red.2023",13,217
"Sagwon","TL","TL5","B",2023,"Sagwon.TL5.B.red.2023",13,242
"Sagwon","SG","SG2","SG2",2017,"Sagwon.SG2.SG2.Black.2017",13,228
"Coldfoot","TL","TL9","B",2024,"Coldfoot.TL9.B.blue.2024",3,NA
"Sagwon","CF","CF2","A",2024,"Sagwon.CF2.A.blue.2024",13,233
"Coldfoot","TL","TL9","TL9",2017,"Coldfoot.TL9.TL9.Black.2017",13,217
"Sagwon","CF","CF16","C",2024,"Sagwon.CF16.C.Blue.2024",13,233
"Toolik","TL","TL2","C",2024,"Toolik.TL2.C.yellow.2024",15,213
"Sagwon","TL","TL13","TL13",2015,"Sagwon.TL13.TL13.Black.2015",10,206
"Toolik","SG","SG16","SG16",2015,"Toolik.SG16.SG16.Black.2015",10,181
"Sagwon","TL","TL13","C",2022,"Sagwon.TL13.C.Red.2022",9,222
"Coldfoot","SG","SG10","B",2022,"Coldfoot.SG10.B.red.2022",12,194
"Coldfoot","TL","TL2","A",2022,"Coldfoot.TL2.A.Blue.2022",13,187
