"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Sagwon","TL","TL13","TL13",2016,"Sagwon.TL13.TL13.Black.2016",16,218
"Toolik","SG","SG14","B",2022,"Toolik.SG14.B.blue.2022",11,220
"Toolik","SG","SG11","B",2024,"Toolik.SG11.B.blue2.2024",8,213
"Toolik","CF","CF16","A",2022,"Toolik.CF16.A.red.2022",11,215
"Toolik","SG","SG14","B",2022,"Toolik.SG14.B.yellow.2022",11,211
"Toolik","SG","SG5","B",2023,"Toolik.SG5.B.blue.2023",14,215
"Sagwon","SG","SG10","B",2024,"Sagwon.SG10.B.Blue.2024",13,213
"Sagwon","CF","CF18","B",2022,"Sagwon.CF18.B.blue.2022",9,222
"Sagwon","SG","SG14","C",2022,"Sagwon.SG14.C.Red.2022",9,232
"Toolik","CF","CF5","CF5",2015,"Toolik.CF5.CF5.Black.2015",10,205
"Toolik","TL","TL17","A",2022,"Toolik.TL17.A.yellow.2022",11,215
"Toolik","TL","TL8","C",2022,"Toolik.TL8.C.Blue.2022",11,220
"Sagwon","CF","CF11","A",2022,"Sagwon.CF11.A.Red.2022",9,214
"Coldfoot","CF","CF2","CF2",2016,"Coldfoot.CF2.CF2.Black.2016",13,236
"Coldfoot","CF","CF1","C",2024,"Coldfoot.CF1.C.Blue2.2024",17,215
"Sagwon","TL","TL11","C",2022,"Sagwon.TL11.C.blue.2022",9,214
"Coldfoot","TL","TL8","C",2023,"Coldfoot.TL8.C.red.2023",13,212
"Sagwon","CF","CF13","C",2023,"Sagwon.CF13.C.Yellow.2023",13,242
"Toolik","SG","SG11","B",2022,"Toolik.SG11.B.Blue.2022",11,202
"Toolik","CF","CF13","A",2023,"Toolik.CF13.A.Blue.2023",14,228
"Toolik","SG","SG3","A",2023,"Toolik.SG3.A.red.2023",14,215
"Coldfoot","TL","TL10","A",2024,"Coldfoot.TL10.A.blue.2024",10,NA
"Coldfoot","CF","CF1","CF1",2015,"Coldfoot.CF1.CF1.Black.2015",8,211
"Coldfoot","SG","SG2","B",2023,"Coldfoot.SG2.B.Blue.2023",12,213
"Sagwon","CF","CF5","C",2022,"Sagwon.CF5.C.blue.2022",9,222
"Coldfoot","CF","CF1","B",2022,"Coldfoot.CF1.B.Red.2022",13,223
"Sagwon","SG","SG2","A",2024,"Sagwon.SG2.A.Yellow.2024",13,226
"Coldfoot","TL","TL4","C",2022,"Coldfoot.TL4.C.Blue.2022",13,210
"Sagwon","TL","TL11","B",2024,"Sagwon.TL11.B.blue2.2024",13,233
"Toolik","CF","CF10","CF10",2015,"Toolik.CF10.CF10.Black.2015",10,194
"Sagwon","TL","TL16","C",2024,"Sagwon.TL16.C.red2.2024",13,233
"Coldfoot","CF","CF9","C",2024,"Coldfoot.CF9.C.Yellow.2024",2,NA
"Toolik","CF","CF10","B",2023,"Toolik.CF10.B.Yellow.2023",14,235
"Sagwon","TL","TL16","B",2022,"Sagwon.TL16.B.red.2022",9,214
"Toolik","CF","CF13","B",2024,"Toolik.CF13.B.Yellow2.2024",15,227
"Coldfoot","CF","CF5","CF5",2015,"Coldfoot.CF5.CF5.Black.2015",9,182
"Coldfoot","TL","TL1","TL1",2015,"Coldfoot.TL1.TL1.Black.2015",9,211
"Sagwon","SG","SG5","B",2022,"Sagwon.SG5.B.blue.2022",9,222
"Coldfoot","TL","TL4","C",2024,"Coldfoot.TL4.C.Blue2.2024",17,223
"Toolik","TL","TL17","C",2022,"Toolik.TL17.C.yellow.2022",11,220
"Coldfoot","TL","TL8","C",2022,"Coldfoot.TL8.C.blue.2022",13,223
"Sagwon","SG","SG17","C",2023,"Sagwon.SG17.C.red.2023",13,210
