Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,CF,CF6,B,red,2022,control,232,Coldfoot.CF6.B.red.2022
Coldfoot,CF,CF6,C,blue,2022,control,235,Coldfoot.CF6.C.blue.2022
Coldfoot,CF,CF6,C,red,2022,control,238,Coldfoot.CF6.C.red.2022
Coldfoot,CF,CF6,C,red,2023,control,218,Coldfoot.CF6.C.red.2023
Coldfoot,CF,CF6,C,red2,2024,control,232,Coldfoot.CF6.C.red2.2024
Coldfoot,CF,CF6,CF6,Black,2015,control,224,Coldfoot.CF6.CF6.Black.2015
Coldfoot,CF,CF6,CF6,Black,2017,control,235,Coldfoot.CF6.CF6.Black.2017
Coldfoot,CF,CF6,CF6,Black2,2016,control,227,Coldfoot.CF6.CF6.Black2.2016
Coldfoot,CF,CF7,A,red,2023,control,232,Coldfoot.CF7.A.red.2023
Coldfoot,CF,CF7,A,red,2024,control,238,Coldfoot.CF7.A.red.2024
Coldfoot,CF,CF7,B,blue,2022,control,239,Coldfoot.CF7.B.blue.2022
Coldfoot,CF,CF7,B,blue,2023,control,219,Coldfoot.CF7.B.blue.2023
Coldfoot,CF,CF7,B,blue,2024,control,229,Coldfoot.CF7.B.blue.2024
Coldfoot,CF,CF7,B,red,2022,control,239,Coldfoot.CF7.B.red.2022
Coldfoot,CF,CF7,C,blue,2022,control,231,Coldfoot.CF7.C.blue.2022
Coldfoot,CF,CF7,C,red,2022,control,234,Coldfoot.CF7.C.red.2022
Coldfoot,CF,CF7,C,red,2023,control,212,Coldfoot.CF7.C.red.2023
Coldfoot,CF,CF7,C,red2,2024,control,216,Coldfoot.CF7.C.red2.2024
Coldfoot,CF,CF7,CF7,Black,2015,control,216,Coldfoot.CF7.CF7.Black.2015
Coldfoot,CF,CF7,CF7,Black,2017,control,234,Coldfoot.CF7.CF7.Black.2017
Coldfoot,CF,CF7,CF7,Black2,2016,control,235,Coldfoot.CF7.CF7.Black2.2016
Coldfoot,CF,CF8,CF8,Black,2015,control,227,Coldfoot.CF8.CF8.Black.2015
Coldfoot,CF,CF8,CF8,Black,2016,control,243,Coldfoot.CF8.CF8.Black.2016
Coldfoot,CF,CF9,A,blue,2022,control,237,Coldfoot.CF9.A.blue.2022
Coldfoot,CF,CF9,A,blue,2023,control,238,Coldfoot.CF9.A.blue.2023
Coldfoot,CF,CF9,A,blue3,2024,control,229,Coldfoot.CF9.A.blue3.2024
Coldfoot,CF,CF9,A,red,2022,control,230,Coldfoot.CF9.A.red.2022
Coldfoot,CF,CF9,B,blue,2022,control,228,Coldfoot.CF9.B.blue.2022
Coldfoot,CF,CF9,B,blue,2023,control,209,Coldfoot.CF9.B.blue.2023
Coldfoot,CF,CF9,B,blue,2024,control,229,Coldfoot.CF9.B.blue.2024
Coldfoot,CF,CF9,C,Yellow,2023,control,233,Coldfoot.CF9.C.Yellow.2023
Coldfoot,CF,CF9,C,blue,2022,control,235,Coldfoot.CF9.C.blue.2022
Coldfoot,CF,CF9,C,red,2022,control,231,Coldfoot.CF9.C.red.2022
Coldfoot,CF,CF9,C,yellow2,2024,control,229,Coldfoot.CF9.C.yellow2.2024
Coldfoot,CF,CF9,CF9,Black,2015,control,228,Coldfoot.CF9.CF9.Black.2015
Coldfoot,CF,CF9,CF9,Black,2016,control,224,Coldfoot.CF9.CF9.Black.2016
Coldfoot,CF,CF9,CF9,Black,2017,control,235,Coldfoot.CF9.CF9.Black.2017
Coldfoot,CF,L1,Red,Red,2023,lighting,230,Coldfoot.L1.Red.Red.2023
Coldfoot,CF,L1,Yellow,Yellow,2023,lighting,221,Coldfoot.L1.Yellow.Yellow.2023
Coldfoot,CF,L10,Yellow,Yellow,2023,lighting,246,Coldfoot.L10.Yellow.Yellow.2023
